,area_m2,price_usd,lat,lon,place
193,75,131061.59,-12.983234,-38.443928,Salvador
194,128,234038.56,-12.984901,-38.439594,Salvador
195,59,145790.42,-12.98223,-38.43898,Salvador
196,70,126880.1,-12.981397,-38.441444,Salvador
197,90,131061.59,-13.002345,-38.528343,Salvador
198,170,202833.42,-12.993533,-38.526047,Salvador
199,230,405666.85,-12.993533,-38.526047,Salvador
201,100,227797.54,-12.992472,-38.52298,Salvador
202,185,212194.96,-12.992102,-38.521461,Salvador
203,67,131061.59,-12.982599,-38.499725,Salvador
204,103,186669.16,-12.998506,-38.52309,Salvador
205,122,249641.14,-12.998506,-38.52309,Salvador
206,230,296448.85,-12.998506,-38.52309,Salvador
207,166,187230.85,-12.998506,-38.52309,Salvador
208,102,265243.71,-12.998506,-38.52309,Salvador
209,164,414404.29,-12.998506,-38.52309,Salvador
210,120,98296.19,-12.998506,-38.52309,Salvador
211,89,160706.48,-12.970966,-38.436806,Salvador
212,109,146664.17,-12.968704,-38.435516,Salvador
213,71,106097.48,-12.993493,-38.477962,Salvador
215,100,109217.99,-12.993493,-38.477962,Salvador
216,100,146664.17,-12.99183,-38.477451,Salvador
217,156,390064.28,-13.002883,-38.486099,Salvador
219,140,234038.56,-12.994513,-38.479004,Salvador
222,71,81133.37,-12.852844,-38.32711,Lauro de Freitas
223,71,78012.85,-12.852844,-38.32711,Lauro de Freitas
224,143,296448.85,-12.941992,-38.403465,Salvador
225,158,180989.82,-12.941992,-38.403465,Salvador
226,75,77388.75,-12.999527,-38.46265,Salvador
227,128,235843.06,-12.98223,-38.43898,Salvador
231,136,109217.99,-12.852844,-38.32711,Lauro de Freitas
232,68,101416.71,-12.98516,-38.482758,Salvador
233,71,121700.05,-13.001169,-38.49419,Salvador
234,165,343256.56,-12.993305,-38.45739,Salvador
235,71,170068.02,-13.004092,-38.5047,Salvador
236,72,118579.54,-12.983234,-38.443928,Salvador
237,83,132621.85,-12.937969,-38.381538,Salvador
238,67,99856.45,-12.937969,-38.381538,Salvador
239,70,102976.97,-12.974941,-38.440117,Salvador
240,67,102976.97,-12.931565,-38.40873,Salvador
241,156,321412.96,-13.002883,-38.486099,Salvador
242,54,93615.42,-12.941992,-38.403465,Salvador
243,195,390064.28,-12.950598,-38.40873,Salvador
244,142,262123.19,-12.950598,-38.40873,Salvador
246,137,196592.39,-12.941992,-38.403465,Salvador
248,128,152905.19,-12.985207,-38.456074,Salvador
249,111,174748.79,-12.985207,-38.456074,Salvador
252,71,81133.37,-12.852844,-38.32711,Lauro de Freitas
253,186,234038.56,-12.985207,-38.456074,Salvador
254,186,411471.01,-13.009664,-38.486431,Salvador
255,128,234038.56,-12.984901,-38.439594,Salvador
256,122,249641.14,-12.998506,-38.52309,Salvador
257,59,145790.42,-12.98223,-38.43898,Salvador
258,140,234038.56,-12.994513,-38.479004,Salvador
259,180,277725.76,-12.964468,-38.417938,Salvador
260,210,246520.62,-12.993533,-38.526047,Salvador
261,59,113898.77,-12.992462,-38.444553,Salvador
262,71,106097.48,-12.993493,-38.477962,Salvador
264,55,140423.14,-13.004092,-38.5047,Salvador
265,98,174748.79,-12.993305,-38.45739,Salvador
266,127,180989.82,-12.985207,-38.456074,Salvador
267,235,165387.25,-13.000443,-38.45739,Salvador
268,195,452474.56,-12.985207,-38.456074,Salvador
269,170,202833.42,-12.993533,-38.526047,Salvador
270,95,187230.85,-12.991933,-38.465279,Salvador
271,230,405666.85,-12.993533,-38.526047,Salvador
272,185,212194.96,-12.992102,-38.521461,Salvador
273,90,184110.34,-13.00525,-38.516327,Salvador
274,75,131061.59,-12.983234,-38.443928,Salvador
275,166,187230.85,-12.998506,-38.52309,Salvador
276,100,227797.54,-12.992472,-38.52298,Salvador
