area_m2,price_usd,lat,lon,place
155,296448.85,-12.993305,-38.45739,Salvador
195,452474.56,-12.985207,-38.456074,Salvador
127,180989.82,-12.985207,-38.456074,Salvador
128,152905.19,-12.985207,-38.456074,Salvador
186,234038.56,-12.985207,-38.456074,Salvador
212,415028.39,-12.94999,-38.391624,Salvador
98,227797.54,-13.004092,-38.5047,Salvador
55,140423.14,-13.004092,-38.5047,Salvador
168,312051.42,-12.993533,-38.526047,Salvador
180,277725.76,-12.964468,-38.417938,Salvador
75,85703.4,-12.970389,-38.424129,Salvador
116,208450.35,-12.951526,-38.392464,Salvador
143,253385.75,-12.951526,-38.392464,Salvador
210,327653.99,-12.96049,-38.405239,Salvador
139,234038.56,-12.96049,-38.405239,Salvador
75,131061.59,-12.983234,-38.443928,Salvador
128,234038.56,-12.984901,-38.439594,Salvador
59,145790.42,-12.98223,-38.43898,Salvador
70,126880.1,-12.981397,-38.441444,Salvador
90,131061.59,-13.002345,-38.528343,Salvador
170,202833.42,-12.993533,-38.526047,Salvador
230,405666.85,-12.993533,-38.526047,Salvador
100,227797.54,-12.992472,-38.52298,Salvador
185,212194.96,-12.992102,-38.521461,Salvador
67,131061.59,-12.982599,-38.499725,Salvador
103,186669.16,-12.998506,-38.52309,Salvador
122,249641.14,-12.998506,-38.52309,Salvador
230,296448.85,-12.998506,-38.52309,Salvador
166,187230.85,-12.998506,-38.52309,Salvador
102,265243.71,-12.998506,-38.52309,Salvador
164,414404.29,-12.998506,-38.52309,Salvador
120,98296.19,-12.998506,-38.52309,Salvador
89,160706.48,-12.970966,-38.436806,Salvador
109,146664.17,-12.968704,-38.435516,Salvador
71,106097.48,-12.993493,-38.477962,Salvador
100,109217.99,-12.993493,-38.477962,Salvador
100,146664.17,-12.99183,-38.477451,Salvador
156,390064.28,-13.002883,-38.486099,Salvador
140,234038.56,-12.994513,-38.479004,Salvador
71,81133.37,-12.852844,-38.32711,Lauro de Freitas
71,78012.85,-12.852844,-38.32711,Lauro de Freitas
143,296448.85,-12.941992,-38.403465,Salvador
158,180989.82,-12.941992,-38.403465,Salvador
75,77388.75,-12.999527,-38.46265,Salvador
128,235843.06,-12.98223,-38.43898,Salvador
136,109217.99,-12.852844,-38.32711,Lauro de Freitas
68,101416.71,-12.98516,-38.482758,Salvador
71,121700.05,-13.001169,-38.49419,Salvador
165,343256.56,-12.993305,-38.45739,Salvador
71,170068.02,-13.004092,-38.5047,Salvador
72,118579.54,-12.983234,-38.443928,Salvador
83,132621.85,-12.937969,-38.381538,Salvador
67,99856.45,-12.937969,-38.381538,Salvador
70,102976.97,-12.974941,-38.440117,Salvador
67,102976.97,-12.931565,-38.40873,Salvador
156,321412.96,-13.002883,-38.486099,Salvador
54,93615.42,-12.941992,-38.403465,Salvador
195,390064.28,-12.950598,-38.40873,Salvador
142,262123.19,-12.950598,-38.40873,Salvador
137,196592.39,-12.941992,-38.403465,Salvador
128,152905.19,-12.985207,-38.456074,Salvador
111,174748.79,-12.985207,-38.456074,Salvador
71,81133.37,-12.852844,-38.32711,Lauro de Freitas
186,234038.56,-12.985207,-38.456074,Salvador
186,411471.01,-13.009664,-38.486431,Salvador
128,234038.56,-12.984901,-38.439594,Salvador
122,249641.14,-12.998506,-38.52309,Salvador
59,145790.42,-12.98223,-38.43898,Salvador
140,234038.56,-12.994513,-38.479004,Salvador
180,277725.76,-12.964468,-38.417938,Salvador
210,246520.62,-12.993533,-38.526047,Salvador
59,113898.77,-12.992462,-38.444553,Salvador
71,106097.48,-12.993493,-38.477962,Salvador
55,140423.14,-13.004092,-38.5047,Salvador
98,174748.79,-12.993305,-38.45739,Salvador
127,180989.82,-12.985207,-38.456074,Salvador
235,165387.25,-13.000443,-38.45739,Salvador
195,452474.56,-12.985207,-38.456074,Salvador
170,202833.42,-12.993533,-38.526047,Salvador
95,187230.85,-12.991933,-38.465279,Salvador
230,405666.85,-12.993533,-38.526047,Salvador
185,212194.96,-12.992102,-38.521461,Salvador
90,184110.34,-13.00525,-38.516327,Salvador
75,131061.59,-12.983234,-38.443928,Salvador
166,187230.85,-12.998506,-38.52309,Salvador
100,227797.54,-12.992472,-38.52298,Salvador
71,78012.85,-12.852844,-38.32711,Lauro de Freitas
158,180989.82,-12.941992,-38.403465,Salvador
102,265243.71,-12.998506,-38.52309,Salvador
54,92679.27,-12.985579,-38.470348,Salvador
128,235843.06,-12.98223,-38.43898,Salvador
164,414404.29,-12.998506,-38.52309,Salvador
210,327653.99,-12.96049,-38.405239,Salvador
139,234038.56,-12.96049,-38.405239,Salvador
215,374461.71,-13.002785,-38.519222,Salvador
180,265243.71,-13.000443,-38.45739,Salvador
212,415028.39,-12.94999,-38.391624,Salvador
120,98296.19,-12.998506,-38.52309,Salvador
168,312051.42,-12.993533,-38.526047,Salvador
142,115146.97,-12.992462,-38.444553,Salvador
78,134182.11,-12.985591,-38.469273,Salvador
100,109217.99,-12.993493,-38.477962,Salvador
198,218435.99,-12.985207,-38.456074,Salvador
114,202833.42,-13.000443,-38.45739,Salvador
82,81133.37,-12.992462,-38.444553,Salvador
203,265243.71,-13.000443,-38.45739,Salvador
90,131061.59,-13.002345,-38.528343,Salvador
75,85703.4,-12.970389,-38.424129,Salvador
67,131061.59,-12.982599,-38.499725,Salvador
156,390064.28,-13.002883,-38.486099,Salvador
116,208450.35,-12.951526,-38.392464,Salvador
143,253385.75,-12.951526,-38.392464,Salvador
109,146664.17,-12.968704,-38.435516,Salvador
155,310491.16,-12.993305,-38.45739,Salvador
71,84253.88,-12.992462,-38.444553,Salvador
100,146664.17,-12.99183,-38.477451,Salvador
103,186669.16,-12.998506,-38.52309,Salvador
89,160706.48,-12.970966,-38.436806,Salvador
143,296448.85,-12.941992,-38.403465,Salvador
75,77388.75,-12.999527,-38.46265,Salvador
230,464956.62,-13.002785,-38.519222,Salvador
73,104537.22,-12.985207,-38.456074,Salvador
200,187230.85,-12.958966,-38.405651,Salvador
74,101416.71,-12.852844,-38.32711,Lauro de Freitas
142,274605.25,-12.950598,-38.40873,Salvador
77,109217.99,-13.001876,-38.501404,Salvador
200,187230.85,-12.958966,-38.405651,Salvador
210,238719.34,-13.000443,-38.45739,Salvador
105,136490.6,-12.998506,-38.52309,Salvador
210,238719.34,-13.000443,-38.45739,Salvador
105,136490.6,-12.998506,-38.52309,Salvador
186,405666.85,-13.009664,-38.486431,Salvador
128,140423.14,-13.002345,-38.528343,Salvador
139,249641.14,-12.993305,-38.45739,Salvador
182,436871.99,-13.004878,-38.532276,Salvador
139,249641.14,-12.993305,-38.45739,Salvador
182,436871.99,-13.004878,-38.532276,Salvador
204,452474.56,-13.002883,-38.486099,Salvador
204,468077.13,-13.002883,-38.486099,Salvador
82,131061.59,-12.990577,-38.510612,Salvador
82,131061.59,-12.990577,-38.510612,Salvador
110,93615.42,-12.992462,-38.444553,Salvador
106,185670.59,-12.9371316,-38.3556842,Salvador
63,109217.99,-12.974083,-38.431091,Salvador
110,93615.42,-12.992462,-38.444553,Salvador
106,185670.59,-12.9371316,-38.3556842,Salvador
63,109217.99,-12.974083,-38.431091,Salvador
67,112338.51,-12.971625,-38.486305,Salvador
88,121700.05,-12.985591,-38.469273,Salvador
88,121700.05,-12.985591,-38.469273,Salvador
133,199182.42,-12.952238,-38.395287,Salvador
67,106097.48,-12.937969,-38.381538,Salvador
82,127941.08,-12.937969,-38.381538,Salvador
67,106097.48,-12.937969,-38.381538,Salvador
110,215315.48,-12.993305,-38.45739,Salvador
112,196592.39,-12.993533,-38.526047,Salvador
53,90800.72,-12.985591,-38.469273,Salvador
60,96735.94,-13.007857,-38.498463,Salvador
79,156457.9,-12.98223,-38.43898,Salvador
103,252888.97,-12.998506,-38.52309,Salvador
90,158740.56,-12.970966,-38.436806,Salvador
84,146664.17,-13.000443,-38.45739,Salvador
59,130749.54,-13.000164,-38.489021,Salvador
97,193471.88,-13.000443,-38.45739,Salvador
110,152905.19,-12.983924,-38.450443,Salvador
84,146664.17,-13.000443,-38.45739,Salvador
59,130749.54,-13.000164,-38.489021,Salvador
115,288335.51,-13.000164,-38.489021,Salvador
113,101416.71,-14.827576,-39.029541,Ilhéus
109,160706.48,-14.801797,-39.041534,Ilhéus
112,90494.91,-14.859674,-40.820404,Vitória da Conquista
70,133462.52,-12.965071,-38.435036,Salvador
65,102641.2,-12.938337,-38.362667,Salvador
67,86296.26,-12.149824,-44.992315,Barreiras
86,132683.01,-14.78655,-39.03495,Ilhéus
75,76452.59,-14.844938,-39.026431,Ilhéus
113,102581.9,-14.827576,-39.029541,Ilhéus
58,91811.77,-14.816835,-39.025423,Ilhéus
132,78012.85,-12.139819,-45.012824,Barreiras
84,122636.21,-14.78619,-39.03628,Ilhéus
96,87374.39,-12.144439,-44.996502,Barreiras
194,102976.97,-12.149369,-44.990957,Barreiras
220,405666.85,-13.009679,-38.486305,Salvador
220,405666.85,-13.009679,-38.486305,Salvador
142,343256.56,-12.950598,-38.40873,Salvador
108,168507.77,-12.993305,-38.45739,Salvador
108,168507.77,-12.993305,-38.45739,Salvador
74,102976.97,-12.990577,-38.510612,Salvador
140,140423.14,-13.009875,-38.481541,Salvador
94,165387.25,-12.970382,-38.512382,Salvador
67,140423.14,-12.985207,-38.456074,Salvador
140,140423.14,-13.009875,-38.481541,Salvador
60,117647.44,-12.993782,-38.492218,Salvador
110,126968.0,-12.971756,-38.438103,Salvador
105,218435.99,-12.993305,-38.45739,Salvador
110,126968.0,-12.971756,-38.438103,Salvador
105,218435.99,-12.993305,-38.45739,Salvador
115,143543.65,-13.000443,-38.45739,Salvador
115,143543.65,-13.000443,-38.45739,Salvador
65,86219.8,-14.840205,-39.031994,Ilhéus
74,109998.12,-14.805622,-39.037059,Ilhéus
115,196592.39,-13.009623,-38.514156,Salvador
110,131061.59,-12.983924,-38.450443,Salvador
57,98296.19,-12.957254,-38.429649,Salvador
243,452474.56,-12.950598,-38.40873,Salvador
58,76452.59,-12.939807,-38.367931,Salvador
92,165387.25,-13.001169,-38.49419,Salvador
77,140423.14,-12.990577,-38.510612,Salvador
145,191131.49,-13.000443,-38.45739,Salvador
90,99856.45,-12.9371316,-38.3556842,Salvador
180,143543.65,-14.837616,-39.028094,Ilhéus
203,265243.71,-13.000443,-38.45739,Salvador
75,118579.54,-12.981397,-38.441444,Salvador
140,230918.05,-12.9429024,-38.3982041,Salvador
210,343256.56,-12.9429024,-38.3982041,Salvador
133,176777.13,-12.9994819,-38.4560755,Salvador
130,112338.51,-12.9808155,-38.5086421,Salvador
134,316732.19,-12.992472,-38.52298,Salvador
120,186294.7,-12.9890124,-38.4392045,Salvador
93,145103.91,-12.9994819,-38.4560755,Salvador
70,123260.31,-13.0002554,-38.5188762,Salvador
112,237159.08,-12.950598,-38.40873,Salvador
168,343256.56,-12.9930033,-38.5247961,Salvador
100,217811.89,-15.61667,-39.7,Salvador
105,113898.77,-12.9903761,-38.4468721,Salvador
107,132621.85,-12.9994819,-38.4560755,Salvador
72,124820.57,-12.9994819,-38.4560755,Salvador
143,227797.54,-12.9429024,-38.3982041,Salvador
90,124820.57,-12.9994819,-38.4560755,Salvador
98,171628.28,-12.9928931,-38.4665922,Salvador
78,98296.19,-12.9994819,-38.4560755,Salvador
164,296448.85,-13.000164,-38.489021,Salvador
164,296448.85,-13.000164,-38.489021,Salvador
112,110778.25,-12.992462,-38.444553,Salvador
70,87374.39,-14.845166,-39.025691,Ilhéus
70,118579.54,-13.007857,-38.498463,Salvador
98,106097.48,-13.003813,-38.528656,Salvador
154,436871.99,-12.998506,-38.52309,Salvador
78,74892.34,-14.828758,-40.797218,Vitória da Conquista
87,156025.71,-14.796621,-39.037969,Ilhéus
104,88378.25,-12.863804,-38.2770374,Camaçari
190,123260.31,-13.008737,-38.487831,Salvador
250,378763.96,-12.9891996,-38.5236444,Salvador
140,233571.11,-12.9858801,-38.460407,Salvador
215,394545.79,-12.9891996,-38.5236444,Salvador
143,206741.99,-12.9604584,-38.4053527,Salvador
175,505018.62,-12.9902375,-38.5245971,Salvador
130,205163.81,-13.0091525,-38.5163816,Salvador
91,190541.0,-12.9798238,-38.4573653,Salvador
128,454516.76,-13.0095404,-38.5133791,Salvador
85,142036.48,-13.0050327,-38.5199433,Salvador
99,230414.74,-12.9930748,-38.5233928,Salvador
195,331418.47,-12.9604584,-38.4053527,Salvador
55,78909.15,-12.9053309,-38.4294106,Salvador
62,88378.25,-12.9722361,-38.4242989,Salvador
70,107657.74,-12.9808591,-38.4468721,Salvador
110,171628.28,-12.9994819,-38.4560755,Salvador
