,ETH,BTC,USDT,XRP
2025-02-14 00:00:00,2726.32,97509.03,1.00005,2.739
2025-02-15 00:00:00,2693.58,97596.94,1.00015,2.7626
2025-02-16 00:00:00,2661.51,96119.88,1.00005,2.7288
2025-02-17 00:00:00,2744.1,95781.8,0.99994,2.66
2025-02-18 00:00:00,2670.59,95607.4,0.99938,2.561
2025-02-19 00:00:00,2715.27,96632.03,0.9999,2.7377
2025-02-20 00:00:00,2738.65,98347.2,1.00016,2.6884
2025-02-21 00:00:00,2661.69,96157.03,0.99938,2.571
2025-02-22 00:00:00,2763.5,96582.12,1.00006,2.5739
2025-02-23 00:00:00,2819.63,96265.98,0.99996,2.5761
2025-02-24 00:00:00,2513.35,91510.82,0.9998,2.2774
2025-02-25 00:00:00,2492.37,88583.74,0.99877,2.3198
2025-02-26 00:00:00,2332.93,84111.78,0.99853,2.1954
2025-02-27 00:00:00,2305.21,84625.19,0.99905,2.1967
2025-02-28 00:00:00,2236.36,84297.73,0.99955,2.1448
2025-03-01 00:00:00,2216.51,86018.76,0.99956,2.1911
2025-03-02 00:00:00,2518.39,94265.48,1.00008,2.9398
2025-03-03 00:00:00,2147.53,86161.1,0.99927,2.3858
2025-03-04 00:00:00,2170.92,87249.96,0.99978,2.4537
2025-03-05 00:00:00,2241.53,90603.73,0.99998,2.4998
2025-03-06 00:00:00,2202.42,89921.85,0.99997,2.5998
2025-03-07 00:00:00,2140.81,86756.98,0.99955,2.3843
2025-03-08 00:00:00,2203.03,86206.69,0.99967,2.3258
2025-03-09 00:00:00,2020.02,80699.17,0.99968,2.138
2025-03-10 00:00:00,1864.12,78544.71,0.99943,2.02
2025-03-11 00:00:00,1923.08,82914.51,0.99971,2.1697
2025-03-12 00:00:00,1907.93,83659.43,0.99974,2.2393
2025-03-13 00:00:00,1863.81,81073.43,0.99953,2.2517
2025-03-14 00:00:00,1911.65,83980.49,1.00001,2.3567
2025-03-15 00:00:00,1937.61,84351.46,1.00002,2.3913
2025-03-16 00:00:00,1886.8,82562.57,0.99993,2.2934
2025-03-17 00:00:00,1926.28,84011.4,0.99995,2.3375
2025-03-18 00:00:00,1931.25,82698.76,0.99978,2.2846
2025-03-19 00:00:00,2057.06,86877.96,1.00026,2.5477
2025-03-20 00:00:00,1982.67,84183.42,0.99941,2.4345
2025-03-21 00:00:00,1964.98,84061.96,0.99965,2.38
2025-03-22 00:00:00,1980.35,83852.03,0.99984,2.3708
2025-03-23 00:00:00,2005.97,86092.94,0.99998,2.4398
2025-03-24 00:00:00,2081.62,87523.62,1.00019,2.4501
2025-03-25 00:00:00,2066.78,87427.88,1.00017,2.4499
2025-03-26 00:00:00,2009.72,86926.01,1.00009,2.3494
2025-03-27 00:00:00,2003.32,87217.48,0.99977,2.3404
2025-03-28 00:00:00,1896.23,84381.8,0.99952,2.2067
2025-03-29 00:00:00,1827.39,82616.83,0.99967,2.1343
2025-03-30 00:00:00,1807.31,82379.98,0.99992,2.1369
2025-03-31 00:00:00,1822.03,82534.32,0.99979,2.0894
2025-04-01 00:00:00,1905.13,85170.37,1.0,2.1389
2025-04-02 00:00:00,1794.7,82490.08,0.9998,2.0235
2025-04-03 00:00:00,1816.36,83174.33,0.9996,2.0639
2025-04-04 00:00:00,1816.39,83860.16,0.99966,2.1296
2025-04-05 00:00:00,1805.09,83498.25,0.99961,2.1434
2025-04-06 00:00:00,1579.77,78370.75,0.99927,1.9208
2025-04-07 00:00:00,1552.64,79140.01,0.99952,1.8983
2025-04-08 00:00:00,1471.94,76251.64,0.99906,1.7949
2025-04-09 00:00:00,1669.27,82594.75,0.99974,2.0522
2025-04-10 00:00:00,1521.51,79552.34,0.99939,1.9646
2025-04-11 00:00:00,1566.13,83380.47,0.99953,2.0214
2025-04-12 00:00:00,1643.85,85271.01,0.99988,2.1595
2025-04-13 00:00:00,1597.04,83733.07,0.99971,2.1189
2025-04-14 00:00:00,1624.03,84590.36,0.99992,2.127
2025-04-15 00:00:00,1588.64,83629.78,0.99992,2.0841
2025-04-16 00:00:00,1577.27,84028.72,0.99998,2.0831
2025-04-17 00:00:00,1583.83,84961.97,1.0,2.0673
2025-04-18 00:00:00,1588.57,84466.47,0.99989,2.0614
2025-04-19 00:00:00,1612.87,85074.99,0.9999,2.0875
2025-04-20 00:00:00,1587.32,85177.34,0.99997,2.0784
2025-04-21 00:00:00,1579.55,87522.07,1.00001,2.0853
2025-04-22 00:00:00,1757.0,93489.1,1.0004,2.2152
2025-04-23 00:00:00,1795.92,93740.92,1.00039,2.219
2025-04-24 00:00:00,1770.41,94021.96,1.00038,2.206
2025-04-25 00:00:00,1785.95,94708.79,1.0006,2.1827
2025-04-26 00:00:00,1821.6,94666.64,1.00029,2.1922
2025-04-27 00:00:00,1791.88,93780.57,1.00034,2.2529
2025-04-28 00:00:00,1800.26,95042.57,1.00022,2.2957
2025-04-29 00:00:00,1798.21,94271.09,1.00025,2.2389
2025-04-30 00:00:00,1793.79,94182.54,1.00009,2.1908
2025-05-01 00:00:00,1838.82,96524.98,1.00029,2.2131
2025-05-02 00:00:00,1842.98,96929.81,1.00036,2.21
2025-05-03 00:00:00,1834.03,95861.33,1.00022,2.1877
2025-05-04 00:00:00,1809.0,94272.55,1.00009,2.1562
2025-05-05 00:00:00,1820.15,94733.99,0.99995,2.1303
2025-05-06 00:00:00,1817.06,96839.17,0.99993,2.155
2025-05-07 00:00:00,1811.35,97058.32,1.00016,2.1268
2025-05-08 00:00:00,2207.09,103253.49,0.99997,2.3269
2025-05-09 00:00:00,2345.29,102986.96,1.00011,2.3441
2025-05-10 00:00:00,2583.8,104821.19,1.00007,2.4711
2025-05-11 00:00:00,2514.79,104137.62,1.00019,2.368
2025-05-12 00:00:00,2495.83,102800.21,0.99995,2.5443
2025-05-13 00:00:00,2679.88,104131.06,1.00006,2.5828
2025-05-14 00:00:00,2610.31,103545.38,1.00013,2.5508
2025-05-15 00:00:00,2548.84,103786.43,1.00014,2.3859
2025-05-16 00:00:00,2538.02,103500.03,1.00031,2.381
2025-05-17 00:00:00,2476.11,103161.07,1.0003,2.3542
2025-05-18 00:00:00,2498.24,106473.46,1.00043,2.4286
2025-05-19 00:00:00,2528.71,105616.18,1.00026,2.3808
2025-05-20 00:00:00,2525.05,106883.24,1.00035,2.3569
2025-05-21 00:00:00,2551.73,109699.54,1.00042,2.3958
2025-05-22 00:00:00,2665.39,111722.53,1.00026,2.4314
2025-05-23 00:00:00,2527.02,107329.61,1.00024,2.297
2025-05-24 00:00:00,2530.99,107794.01,1.00035,2.3313
2025-05-25 00:00:00,2552.32,109048.68,1.00034,2.343
2025-05-26 00:00:00,2564.32,109464.32,1.00037,2.3111
2025-05-27 00:00:00,2662.04,108978.46,1.0005,2.3181
2025-05-28 00:00:00,2682.16,107819.29,1.00029,2.2749
2025-05-29 00:00:00,2631.68,105572.58,1.0,2.2445
2025-05-30 00:00:00,2531.94,104033.26,1.00036,2.1408
2025-05-31 00:00:00,2529.31,104645.87,1.0005,2.1753
2025-06-01 00:00:00,2540.38,105697.94,1.0005,2.1806
2025-06-02 00:00:00,2609.29,105904.94,1.00048,2.1974
2025-06-03 00:00:00,2595.03,105447.82,1.00066,2.2461
2025-06-04 00:00:00,2609.07,104753.38,1.00057,2.2021
2025-06-05 00:00:00,2415.34,101570.2,1.00048,2.0951
2025-06-06 00:00:00,2478.24,104397.99,1.0007,2.1615
2025-06-07 00:00:00,2526.14,105619.02,1.00053,2.178
2025-06-08 00:00:00,2510.78,105784.4,1.00048,2.2681
2025-06-09 00:00:00,2681.29,110301.15,1.00043,2.3217
2025-06-10 00:00:00,2816.5,110300.24,1.00021,2.3074
2025-06-11 00:00:00,2772.39,108669.37,1.00032,2.2709
2025-06-12 00:00:00,2643.8,105721.05,1.00044,2.1912
2025-06-13 00:00:00,2580.21,106118.7,1.00048,2.1484
2025-06-14 00:00:00,2531.97,105465.42,1.00044,2.1406
2025-06-15 00:00:00,2548.03,105599.25,1.00016,2.1658
2025-06-16 00:00:00,2545.27,106853.38,1.00051,2.239
2025-06-17 00:00:00,2510.7,104590.44,1.00018,2.1598
2025-06-18 00:00:00,2525.54,104915.6,1.00023,2.1708
2025-06-19 00:00:00,2521.52,104671.9,1.00016,2.1649
2025-06-20 00:00:00,2407.2,103317.8,1.0002,2.1199
2025-06-21 00:00:00,2297.28,102160.03,1.00028,2.0648
2025-06-22 00:00:00,2228.46,100996.87,1.00027,2.0184
2025-06-23 00:00:00,2413.0,105419.39,1.00073,2.1599
2025-06-24 00:00:00,2449.87,106141.0,1.0004,2.1907
2025-06-25 00:00:00,2420.09,107400.22,1.00049,2.187
2025-06-26 00:00:00,2417.4,107029.64,1.0003,2.1062
2025-06-27 00:00:00,2424.2,107113.38,1.00042,2.1431
2025-06-28 00:00:00,2437.08,107352.2,1.00039,2.1864
2025-06-29 00:00:00,2500.69,108386.44,1.00022,2.2067
2025-06-30 00:00:00,2486.15,107173.21,1.00025,2.2373
2025-07-01 00:00:00,2405.32,105711.78,1.00017,2.1723
2025-07-02 00:00:00,2571.13,108888.32,1.00043,2.2342
2025-07-03 00:00:00,2592.13,109628.83,1.00032,2.2573
2025-07-04 00:00:00,2508.8,108028.6,1.00025,2.2211
2025-07-05 00:00:00,2517.01,108246.65,1.00026,2.2184
2025-07-06 00:00:00,2570.84,109217.98,1.00011,2.2714
2025-07-07 00:00:00,2542.38,108269.84,1.00006,2.2704
2025-07-08 00:00:00,2616.52,108958.04,1.0002,2.3114
2025-07-09 00:00:00,2769.83,111282.85,1.00034,2.4046
2025-07-10 00:00:00,2951.22,116031.3,1.00011,2.5477
2025-07-11 00:00:00,2959.12,117582.16,1.00041,2.7334
2025-07-12 00:00:00,2944.37,117472.65,1.00033,2.7401
2025-07-13 00:00:00,2973.38,119130.81,1.00043,2.8373
2025-07-14 00:00:00,3014.53,119863.71,1.00019,2.959
2025-07-15 00:00:00,3138.01,117781.64,1.0,2.9196
2025-07-16 00:00:00,3373.12,118681.68,1.00048,3.0391
2025-07-17 00:00:00,3479.77,119273.69,1.00068,3.4846
2025-07-18 00:00:00,3549.67,118023.05,1.00069,3.4158
2025-07-19 00:00:00,3594.3,117914.17,1.00047,3.4267
2025-07-20 00:00:00,3758.6,117312.7,1.00043,3.4555
2025-07-21 00:00:00,3763.75,117428.79,1.00046,3.5512
2025-07-22 00:00:00,3748.62,120026.42,1.00044,3.5521
2025-07-23 00:00:00,3630.34,118810.44,1.00051,3.1861
2025-07-24 00:00:00,3708.6,118397.04,1.00048,3.1468
2025-07-25 00:00:00,3725.84,117633.27,0.99999,3.1428
2025-07-26 00:00:00,3743.06,117969.63,1.0003,3.1672
2025-07-27 00:00:00,3873.92,119465.52,1.0002,3.24
2025-07-28 00:00:00,3799.46,118070.59,0.99994,3.1239
2025-07-29 00:00:00,3793.4,117933.39,0.9998,3.1279
2025-07-30 00:00:00,3810.44,117830.15,0.99996,3.0963
2025-07-31 00:00:00,3698.07,115761.13,0.99989,3.0224
2025-08-01 00:00:00,3486.39,113248.73,0.99957,2.9596
2025-08-02 00:00:00,3392.8,112542.74,0.99974,2.7689
2025-08-03 00:00:00,3497.31,114215.73,1.00006,2.9486
2025-08-04 00:00:00,3720.87,115051.85,0.99998,3.0712
2025-08-05 00:00:00,3611.57,114112.95,0.99988,2.9615
2025-08-06 00:00:00,3683.8,115028.83,1.00017,2.9911
2025-08-07 00:00:00,3911.28,117515.49,1.00026,3.3208
2025-08-08 00:00:00,4011.0,116683.79,1.00011,3.2863
2025-08-09 00:00:00,4262.46,116492.51,1.00025,3.2267
2025-08-10 00:00:00,4251.91,119309.37,1.00017,3.1877
2025-08-11 00:00:00,4224.48,118701.84,1.0,3.1299
2025-08-12 00:00:00,4589.88,120113.18,0.99982,3.2669
2025-08-13 00:00:00,4751.46,123365.63,1.00034,3.2759
2025-08-14 00:00:00,4550.59,118389.79,1.00065,3.0812
2025-08-15 00:00:00,4442.56,117436.96,1.00065,3.08
2025-08-16 00:00:00,4425.13,117455.68,1.0006,3.1072
2025-08-17 00:00:00,4475.47,117488.6,1.00059,3.0894
2025-08-18 00:00:00,4315.37,116286.76,1.00045,3.0624
2025-08-19 00:00:00,4075.89,112856.19,0.99988,2.8601
2025-08-20 00:00:00,4336.41,114276.0,1.00007,2.9512
2025-08-21 00:00:00,4224.43,112480.3,0.99974,2.8509
2025-08-22 00:00:00,4831.24,116908.68,0.99963,3.0721
2025-08-23 00:00:00,4776.73,115383.87,0.99962,3.0475
2025-08-24 00:00:00,4779.87,113478.0,0.99987,3.0253
2025-08-25 00:00:00,4377.02,110127.74,1.00011,2.8588
2025-08-26 00:00:00,4601.64,111788.01,1.00011,3.0128
2025-08-27 00:00:00,4506.95,111253.21,1.0,2.9687
2025-08-28 00:00:00,4511.3,112574.85,1.00003,2.966
2025-08-29 00:00:00,4360.2,108378.32,1.00006,2.8195
2025-08-30 00:00:00,4374.58,108827.93,1.0001,2.8186
2025-08-31 00:00:00,4391.91,108247.95,1.00005,2.7757
2025-09-01 00:00:00,4314.76,109240.55,1.00013,2.7592
2025-09-02 00:00:00,4326.57,111247.94,1.00003,2.8623
2025-09-03 00:00:00,4452.4,111756.41,1.00046,2.8452
2025-09-04 00:00:00,4298.37,110720.79,1.0002,2.7944
2025-09-05 00:00:00,4307.65,110670.02,1.00005,2.814
2025-09-06 00:00:00,4274.15,110212.6,1.00036,2.8099
2025-09-07 00:00:00,4305.56,111129.61,1.00008,2.8769
2025-09-08 00:00:00,4305.84,112072.57,1.00017,2.9692
2025-09-09 00:00:00,4309.93,111549.32,1.00011,2.947
2025-09-10 00:00:00,4350.0,113983.97,1.00015,2.9836
2025-09-11 00:00:00,4460.51,115540.0,1.00029,3.0405
2025-09-12 00:00:00,4714.66,116106.03,1.0007,3.1067
2025-09-13 00:00:00,4669.0,115968.35,1.00044,3.121
2025-09-14 00:00:00,4605.93,115314.13,1.00046,3.029
2025-09-15 00:00:00,4524.56,115381.08,1.00033,2.9975
2025-09-16 00:00:00,4502.7,116832.56,1.00039,3.0382
2025-09-17 00:00:00,4592.17,116484.4,1.00031,3.0854
2025-09-18 00:00:00,4589.4,117117.99,1.00041,3.0741
2025-09-19 00:00:00,4471.0,115690.55,1.00061,2.991
2025-09-20 00:00:00,4482.69,115752.4,1.00055,2.9768
2025-09-21 00:00:00,4447.03,115282.27,1.00058,2.9719
2025-09-22 00:00:00,4202.42,112736.59,1.00081,2.8549
2025-09-23 00:00:00,4165.19,112017.21,1.00034,2.825
2025-09-24 00:00:00,4153.9,113348.17,1.00038,2.9265
2025-09-25 00:00:00,3875.7,109035.72,1.00035,2.7445
2025-09-26 00:00:00,4034.27,109697.29,1.00066,2.7844
2025-09-27 00:00:00,4020.35,109681.16,1.00048,2.8058
2025-09-28 00:00:00,4143.25,112197.67,1.00053,2.8687
2025-09-29 00:00:00,4217.25,114365.07,1.00061,2.881
2025-09-30 00:00:00,4145.99,114067.71,1.00011,2.8471
2025-10-01 00:00:00,4350.52,118659.97,1.00068,2.9497
2025-10-02 00:00:00,4487.49,120621.32,1.00069,3.0401
2025-10-03 00:00:00,4515.89,122318.4,1.00066,3.0417
2025-10-04 00:00:00,4490.01,122458.56,1.00044,2.9696
2025-10-05 00:00:00,4515.4,123520.79,1.00032,2.9704
2025-10-06 00:00:00,4686.32,124720.09,1.0004,2.989
2025-10-07 00:00:00,4449.8,121393.95,1.00053,2.8532
2025-10-08 00:00:00,4527.3,123343.25,1.00033,2.8801
2025-10-09 00:00:00,4370.9,121714.51,1.00058,2.8034
2025-10-10 00:00:00,3836.15,112980.28,1.00181,2.3749
2025-10-11 00:00:00,3750.6,110768.89,1.00105,2.3844
2025-10-12 00:00:00,4156.21,115067.98,1.001,2.5307
2025-10-13 00:00:00,4244.69,115274.03,1.00079,2.6073
2025-10-14 00:00:00,4126.39,113068.0,1.00057,2.5046
2025-10-15 00:00:00,3987.53,110804.12,1.00058,2.4123
2025-10-16 00:00:00,3894.91,108198.0,1.0002,2.3282
2025-10-17 00:00:00,3832.99,106463.3,1.00039,2.2941
2025-10-18 00:00:00,3890.4,107208.91,1.00036,2.3602
2025-10-19 00:00:00,3983.89,108676.78,1.0003,2.3913
2025-10-20 00:00:00,3980.42,110568.06,1.00041,2.4956
2025-10-21 00:00:00,3874.57,108362.27,1.00042,2.4232
2025-10-22 00:00:00,3806.12,107585.98,1.0001,2.3648
2025-10-23 00:00:00,3858.41,110116.03,1.00038,2.3956
2025-10-24 00:00:00,3936.1,111042.13,1.00024,2.5108
2025-10-25 00:00:00,3954.52,111666.21,1.00019,2.5965
2025-10-26 00:00:00,4158.81,114548.09,1.00005,2.6458
2025-10-27 00:00:00,4120.1,114087.06,1.00012,2.634
2025-10-28 00:00:00,3980.25,112906.75,1.00019,2.604
2025-10-29 00:00:00,3904.2,110032.13,1.00008,2.5506
2025-10-30 00:00:00,3804.02,108308.18,0.99998,2.4391
2025-10-31 00:00:00,3845.79,109555.27,0.9998,2.5083
2025-11-01 00:00:00,3872.16,110052.25,0.9997,2.5043
2025-11-02 00:00:00,3905.97,110536.01,0.99999,2.5263
2025-11-03 00:00:00,3602.88,106557.98,0.99995,2.309
2025-11-04 00:00:00,3286.21,101468.15,0.99983,2.2048
2025-11-05 00:00:00,3423.89,103869.0,1.00003,2.343
2025-11-06 00:00:00,3384.58,102845.6,1.00001,2.3195
